index	table_id	annotator_id	premise	hypothesis	label
4427	T685	GW28	 Déjà vu is a album.  The studio of Déjà vu is Wally Heider's Studio C ,  San Francisco  , Wally Heider's Studio III ,  Los Angeles.  The genre of Déjà vu are Folk, folk rock.  The label of Déjà vu is Atlantic. 	DŽjˆ vu is an American folk rock album.	2
4994	T837	GW6	 The origin of AC/DC is Sydney, New South Wales, Australia.  The genres of AC/DC are Hard rock, blues rock, rock and roll.  The years active of AC/DC was on 1973 -present.  The labels of AC/DC are Albert, EMI, Columbia, Epic, Atlantic, Atco, Elektra, East West. 	AC/DC has never been in the southern hemisphere.	0
3235	T511	GW12	 Denis Villeneuve was born on ( 1967-10-03 )  October 3, 1967  (age 51)   Becancour, Quebec, Canada.  The alma mater of Denis Villeneuve is Universite du Quebec a Montreal.  The spouse(s) of Denis Villeneuve is Tanya Lapointe.  The relatives of Denis Villeneuve is Martin Villeneuve  (brother).  	Martin Villeneuve was the brother-in-law of Tanya Lapointe.	1
961	T141	GW4	 Bridgeport, Connecticut is a city.  The city area of Bridgeport, Connecticut is 19.4 sq mi (50.2 km 2 ).  The land area of Bridgeport, Connecticut is 16.0 sq mi (41.4 km 2 ).  The water area of Bridgeport, Connecticut is 3.4 sq mi (8.8 km 2 ). 	The town of Bridgeport Connecticut has a lot of water for its size.	1
4303	T668	GW21	 Dana is a painting.  The artist of Dana is Rembrandt.  The year of Dana is 1636.  The location of Dana is Hermitage Museum, St. Petersburg.  	Catherine the great purchased this painting when she was on her first Tour of Europe as a teenager.	0
1115	T1976	GW1	 The origin of Hollywood Undead is Los Angeles, California, United States.  The years active of Hollywood Undead is 2005-present.  The labels of Hollywood Undead are MDDN, Interscope, A&M/Octone, Polydor, BMG.  The associated acts of Hollywood Undead are Lorene Drive, Deuce. 	Hollywood Undead has been active for over 20 years.	0
16531	T2719	GW115	 The starring of Obaltan is Choi Moo-ryong , Kim Jin-kyu , Moon Jeong-suk.  Obaltan was release date on April 13, 1960 (1960-04-13).  The running time of Obaltan is 110 minutes.  The produced by of Obaltan is Kim Seong-chun. 	Obaltan Release date 13 April 1964	0
12613	T2282	GW4	 Choe Museon is a city.  The hangul of Choe Museon is 최무선.  The hanja of Choe Museon is 崔茂宣.  The revised romanization of Choe Museon is Choe Mu-seon. 	Choe Museon had their name the same in all languages.	0
15977	T2657	GW111	 West Side Story was directed by Robert Wise , Jerome Robbins.  West Side Story was produced by Robert Wise.  West Side Story was based on West Side Story   ,  by Jerome Robbins , Leonard Bernstein , Stephen Sondheim , Arthur Laurents  ,   Romeo and Juliet   ,  by William Shakespeare.  West Side Story was starring Natalie Wood , Richard Beymer , Rita Moreno , George Chakiris , Russ Tamblyn. 	Natalie Wood starred in West Side Story.	2
10726	T1789	GW84	 The release date of Interstellar are October 26, 2014  ( 2014-10-26 )  (TCL Chinese Theatre), November 5, 2014  ( 2014-11-05 )  (United States), November 7, 2014  ( 2014-11-07 )  (United Kingdom).  In the box office, Interstellar made $677.5 million.  The production company of Interstellar are Legendary Pictures, Syncopy, Lynda Obst Productions.   The cinematography of Interstellar was by Hoyte van Hoytema. 	Interstellar had a team of women in the editing department.	0
10826	T1806	GW94	 The release date of In the Electric Mist are 7 February 2009 (Berlinale), 15 April 2009 (France).  In the Electric Mist was produced by Frederic Bourboulon, Michael Fitzgerald.  In the Electric Mist was starring Tommy Lee Jones, John Goodman, Peter Sarsgaard, Kelly Macdonald, Mary Steenburgen, Levon Helm, Ned Beatty, Buddy Guy.  In the box office, In the Electric Mist made $7.9 million.  	In the Electric Mist was released at the beginning of 2009 in Berlinale.	2
1624	T239	GW3	 The breed of Chicado V is Quarter Horse.  The discipline of Chicado V is Racing.  The breeder of Chicado V is Frank Vessels.   The sex of Chicado V is Mare. 	Chicado V was a Quarter Horse racing dog trained in the US by Frank Vessels	2
6870	T1223	GW27	 Cheek to Cheek is a album.  The genre of Cheek to Cheek are Jazz, traditional pop.  The label of Cheek to Cheek are Streamline, Interscope, Columbia.  The producer of Cheek to Cheek are Danny Bennett (executive producer), Dae Bennett, Phil Ramone.  	'Cheek to Cheek' had a different producer for each label it was on.	1
13019	T2327	GW119	 Emmanuel Macron is a person.  The prime minister of Emmanuel Macron is Manuel Valls.  The preceded by of Emmanuel Macron is Arnaud Montebourg.  The succeeded by of Emmanuel Macron is Michel Sapin.  	Emmanuel Marcon worked for Prime Minister Manuel Valls from 26 August 2014 – 30 August 2016.	2
10665	T1781	GW94	 The discovery date was on November 1, 2010 (announced), November 22, 2010 (published).  The discoverer(s) of HR 8799 e is Marois et al..  The discovery site of HR 8799 e is Keck and Gemini observatories in Hawaii.  The discovery status of HR 8799 e is Published.  	Marois worked with ten other scientists.	1
14351	T2475	GW107	 The songwriter(s) of Fly Alway With Me is Sy Smith, Kay of the Foundation.  The album of Fly Alway With Me is Conflict.  The format of Fly Alway With Me is Digital download, CD single.  Fly Alway With Me was recorded on 2007. 	The song Fly Alway With Me was written and performed by the same person.	2
5595	T934	GW59	 The breed of Chetak is unknown.  The sex of Chetak is Male.  The nation from of Chetak is Mewari.  The notable role of Chetak is War horse.  	Chetak was active in more than one war.	1
11404	T1886	GW28	 Jack Parsons died on June 17, 1952 (aged 37)  Pasadena, California, U.S..  Jack Parsons was born on October 2, 1914  Los Angeles, California, U.S..  The birth name of Jack Parsons is Marvel Whiteside Parsons.  The spouse(s) of Jack Parsons are Helen Parsons-Smith (nee Northrup)  (1935-46; divorced), Marjorie Cameron (1946-52; his death).  	Jack Parsons was thrice married.	0
668	T103	GW6	 JoJo is a musician.  JoJo was born on Joanna No lle Levesque ,  (1990-12-20) December 20, 1990 (age 28) , Brattleboro, Vermont, U.S..  The occupation of JoJo are Singer, songwriter, actress.  The labels of JoJo are Blackground, Da Family, Universal Motown, Interscope, Streamline, Atlantic, Clover Music. 	JoJo was a child performer.	2
7508	T1192	GW72	 The role of A220 is Narrow-body jet airliner.  The manufacturer of A220 are Bombardier Aerospace, C Series Aircraft Limited Partnership (since 1 July 2018).  A220 was introduction on 15 July 2016 with Swiss International Air Lines.  The primary users of A220 is Swiss International Air Lines , airBaltic  ,  Delta Air Lines  ,  Korean Air. 	AirBaltic A220-300 has a wide body frame comoared to other jet airliners	0
7312	T1160	GW72	 Lysol was introduced on 1889; 130 years ago (1889).  The markets of Lysol is Worldwide.  The previous owners of Lysol is Lehn & Fink (later subsidiary of Sterling Drug).  The website of Lysol is www .lysol .com.  	Lehn & Fink made Lysol available worldwide	1
5451	T912	GW27	 Cannibal Holocaust was written by Gianfranco Clerici.  The country of Cannibal Holocaust is Italy.  The language of Cannibal Holocaust is English.  In the box office, Cannibal Holocaust made $2 million (United States).  	'Cannibal Holocaust' was made in Italy but in the English language.	2
7928	T1246	GW72	 The formation of Greenpeace was on 1969; 50 years ago (1969) - 1972 (1972) (See remarks) , Vancouver, British Columbia, Canada.  The website of Greenpeace is www.greenpeace.org/international.  The headquarters of Greenpeace is Amsterdam, Netherlands.  The region served of Greenpeace is Worldwide. 	Greenpeace only operates regionally near the Netherlands	0
7848	T1236	GW80	 Charles Cros was born on October 1, 1842 (1842-10).  Charles Cros died on 9 August 1888 (1888-08-10) (aged 45) , Paris.  The nationality of Charles Cros is French.  Charles Cros was known for poetry  ,  monologs  ,  Paleophone sound reproduction  ,  color photography methods  ,  fax transmission methods.  	Charles Cros was a French poet who died in 1888.	2
3323	T522	GW51	 The breeder of Danzig is Derry Meeting Farm and William S. Farish III.  The record of Danzig is 3: 3 - 0 - 0.  The earnings of Danzig is $32,400.   Danzig was foaled on 1977. 	Danzig won 21 races in a row during a period of 9 years in the 1980's.	0
2349	T371	GW11	 The influences of Christiaan Huygens are Galileo Galilei , Rene Descartes , Frans van Schooten.  The influenced of Christiaan Huygens are Gottfried Wilhelm Leibniz , Isaac Newton.   Christiaan Huygens died on 8 July 1695 (1695-07-08)  (aged 66)  The Hague, Dutch Republic.  Christiaan Huygens was known for Titan, Explanation of Saturn's rings, Centrifugal force, Collision formulae, Pendulum clock, Huygens-Fresnel principle, Wave theory, Huygens' engine, Birefringence, Evolute , Huygenian eyepiece, 31 equal temperament musical tuning, Huygens - Steiner theorem. 	Christiaan Huygens was friends with Galileo Galilei.	0
12546	T2275	GW117	 Caprio is a food&drink.  The type of Caprio is Soft drink.  Caprio was introduced on 1996..  The variants of Caprio is Caprio Plus.  	Caprio was originally developed as a water style drink.	1
