index	table_id	annotator_id	premise	hypothesis	label
10645	T1774	GW84	 The record of Inside Information is 17: 14-1-2.  The dam of Inside Information is Pure Profit.  The sex of Inside Information is Filly.  Inside Information died on October 14, 2017 (2017-10-14)  (aged 26). 	Inside Information lost most of its races.	0
6699	T1122	GW59	 Charlie Murphy was born on (1959-07-12)July 12, 1959 , Brooklyn, New York City, New York, U.S..  The number of children of Charlie Murphy are 3.  The relative(s) of Charlie Murphy is Eddie Murphy (brother) , Vernon Lynch Jr. (half-brother).  Charlie Murphy died on April 12, 2017(2017-04-12) (aged 57) , New York City, New York, U.S.. 	Charlie Murphy was very close with all three of his children at the time of his death.	1
6318	T1036	GW51	 Bright was directed by David Ayer.  The release date of Bright are December 13, 2017 (2017-12-13) (Regency Village Theater), December 22, 2017 (2017-12-22) (United States).  The running time of Bright is 118 minutes.  Bright was starring Will Smith, Joel Edgerton, Noomi Rapace, Lucy Fry, Edgar Ramirez, Ike Barinholtz. 	Bright was the first film that Will Smith has starred in that did not make a box office run.	1
12299	T2015	GW72	 The in office of Indira Gandhi was on January 14, 1980 - October 31, 1984 (1), January 24, 1966 – March 24, 1977 (2).  The president of Indira Gandhi are N.Sanjiva Reddy (1980-1984) (1), Zail Sing (1), Sarvepalli Radhakrishnan (1980-1984) (2), Zakir Husain (1966-1977) (2), V. V. Giri (1966-1977) (2), Fakhruddin Ali Ahmed (1966-1977) (2).  The preceded by of Indira Gandhi are Charan Singh (1980-1984) (1), Gulzarilal Nanda  (Acting) (1966-1977) (2).  The deputy of Indira Gandhi was on Morarji Desai (1966-1977) (2).  	Indira Gandhi held office more than once	2
10891	T1816	GW93	 The release date of I, Tonya are September 8, 2017 (TIFF), December 8, 2017 (United States).  The running time of I, Tonya is 119 minutes.  The budget of I, Tonya is $11 million.  In the box office, I, Tonya made $53.9 million.  	Inside Out made almost 5 times its budget in the box office.	0
5645	T1365	GW12	 Canned Heat is a musician.  The genres of Canned Heat are Blues rock, boogie rock.  The years active of Canned Heat is 1965-present.  The labels of Canned Heat are Liberty, Ruf, United Artists, Rhino. 	Canned Heat is a blues rock band that became active in 1965.	2
7353	T1166	GW22	 The operator of Flyby of Titan (atmosphere study) is NASA / Jet Propulsion Laboratory.  The website of Flyby of Titan (atmosphere study) is voyager .jpl .nasa .gov.  Flyby of Titan (atmosphere study) was mission duration on 41 years, 8 months and 20 days elapsed, Planetary mission: 3 years, 3 months, 9 days, Interstellar mission: 38 years, 5 months and 11 days elapsed (continuing).  The manufacturer of Flyby of Titan (atmosphere study) is Jet Propulsion Laboratory. 	Voyager 1 was manufactured by Jet Propulsion Laboratory and operated by NASA / Jet Propulsion Laboratory.	2
955	T140	GW4	 K2-21b is a planet.  The semi major axis of K2-21b is 0.0731 AU.  The eccentricity of K2-21b is null.  The orbital period of K2-21b is 9.32414 d. 	The exoplanet K2-21b is not known for being eccentric.	1
501	T80	GW2	 Channel Orange was released on July 10, 2012  ( 2012-07-10 ).  The studio of Channel Orange are EastWest, Hollywood, CA, Henson, Hollywood, CA, Manhattan Sound Recording, New York, NY, Record Plant, Hollywood, CA, San Ysidro, Beverly Hills, CA, Studio for the Talented and Gifted, Los Angeles, CA, Westlake, Los Angeles, CA.  The genre of Channel Orange are Alternative R&B, neo soul.  The length of Channel Orange is 62 : 18. 	Channel Orange was in the R&B top 10 the first week of its release.	1
15332	T2586	GW86	 The type of Pioneer Food Group Limited is Public.  The area served of Pioneer Food Group Limited is Southern Africa, Nigeria, United Kingdom.  The key people of Pioneer Food Group Limited is TA Carstens CEO, ZL Combi Chairman, Felix Lombard CFO.  The products of Pioneer Food Group Limited is Bokomo Cereals, SASKO Flour & Bread, White Star Maize Meal, Ceres Fruit Juices, Liqui-Fruit, Spekko, Safari. 	Pioneer Food Group Limited serves at least two countries.	2
